11.00 0.9975 2850.00 883.00 1967.00 2850 2850  2849.00 0.00 0.00 1.00 5.50 1.00 1.00  0.0
11.25 0.9919 2827.00 845.00 1982.00 2827 2827  2826.00 0.00 0.00 1.00 5.50 1.00 1.00  0.0
11.50 0.9947 2812.00 813.00 1999.00 2812 2812  2811.00 0.00 0.00 1.00 5.50 1.00 1.00  0.0
11.75 0.9943 2796.00 778.00 2018.00 2796 2796  2795.00 0.00 0.00 1.00 5.50 1.00 1.00  0.0
12.00 0.9954 2783.00 743.00 2040.00 2783 2783  2782.00 0.00 0.00 1.00 5.50 1.00 1.00  0.0
12.25 0.9960 2772.00 710.00 2062.00 2772 2772  2771.00 0.00 0.00 1.00 5.50 1.00 1.00  0.0
12.50 0.9960 2761.00 682.00 2079.00 2761 2761  2760.00 0.00 0.00 1.00 5.50 1.00 1.00  0.0
12.75 0.9957 2749.00 660.00 2089.00 2749 2749  2748.00 0.00 0.00 1.00 5.50 1.00 1.00  0.0
13.00 0.9967 2740.00 628.00 2112.00 2740 2740  2739.00 0.00 0.00 1.00 5.50 1.00 1.00  0.0
13.25 0.9967 2731.00 607.00 2124.00 2731 2731  2730.00 0.00 0.00 1.00 5.50 1.00 1.00  0.0
13.50 0.9967 2722.00 582.00 2140.00 2722 2722  2721.00 0.00 0.00 1.00 5.50 1.00 1.00  0.0
13.75 0.9974 2715.00 556.00 2159.00 2715 2715  2714.00 0.00 0.00 1.00 5.50 1.00 1.00  0.0
14.00 0.9948 2701.00 530.00 2171.00 2701 2701  2700.00 0.00 0.00 1.00 5.50 1.00 1.00  0.0
14.25 0.9952 2688.00 515.00 2173.00 2688 2688  2687.00 0.00 0.00 1.00 5.50 1.00 1.00  0.0
14.50 0.9929 2669.00 486.00 2183.00 2669 2669  2668.00 0.00 0.00 1.00 5.50 1.00 1.00  0.0
14.75 0.9978 2663.00 474.00 2189.00 2663 2663  2662.00 0.00 0.00 1.00 5.50 1.00 1.00  0.0
15.00 0.9959 2652.00 450.00 2202.00 2652 2652  2651.00 0.00 0.00 1.00 5.50 1.00 1.00  0.0
15.25 0.9951 2639.00 434.00 2205.00 2639 2639  2638.00 0.00 0.00 1.00 5.50 1.00 1.00  0.0
15.50 0.9958 2628.00 418.00 2210.00 2628 2628  2627.00 0.00 0.00 1.00 5.50 1.00 1.00  0.0
15.75 0.9951 2615.00 397.00 2218.00 2615 2615  2614.00 0.00 0.00 1.00 5.50 1.00 1.00  0.0
16.00 0.9969 2607.00 383.00 2224.00 2607 2607  2606.00 0.00 0.00 1.00 5.50 1.00 1.00  0.0
16.25 0.9969 2599.00 361.00 2238.00 2599 2599  2598.00 0.00 0.00 1.00 5.50 1.00 1.00  0.0
16.50 0.9973 2592.00 354.00 2238.00 2592 2592  2591.00 0.00 0.00 1.00 5.50 1.00 1.00  0.0
16.75 0.9942 2577.00 337.00 2240.00 2577 2577  2576.00 0.00 0.00 1.00 5.50 1.00 1.00  0.0
17.00 0.9984 2573.00 331.00 2242.00 2573 2573  2572.00 0.00 0.00 1.00 5.50 1.00 1.00  0.0
17.25 0.9984 2569.00 319.00 2250.00 2569 2569  2568.00 0.00 0.00 1.00 5.50 1.00 1.00  0.0
17.50 0.9965 2560.00 307.00 2253.00 2560 2560  2559.00 0.00 0.00 1.00 5.50 1.00 1.00  0.0
17.75 0.9980 2555.00 290.00 2265.00 2555 2555  2554.00 0.00 0.00 1.00 5.50 1.00 1.00  0.0
18.00 0.9977 2549.00 277.00 2272.00 2549 2549  2548.00 0.00 0.00 1.00 5.50 1.00 1.00  0.0
18.25 1.0235 2609.00 400.00 2209.00 2609 2609  2608.00 0.00 0.00 1.00 5.50 1.00 1.00  0.0
18.50 1.0245 2673.00 530.00 2143.00 2673 2673  2672.00 0.00 0.00 1.00 5.51 1.00 1.00  0.0
18.75 1.0224 2733.00 648.00 2085.00 2733 2733  2732.00 0.00 0.00 1.00 5.50 1.00 1.00  0.0
19.00 1.0150 2774.00 730.00 2044.00 2774 2774  2773.00 0.00 0.00 1.00 5.50 1.00 1.00  0.0
19.25 1.0173 2822.00 820.00 2002.00 2822 2822  2821.00 0.00 0.00 1.00 5.50 1.00 1.00  0.0
19.50 1.0167 2869.00 902.00 1967.00 2869 2869  2868.00 0.00 0.00 1.00 5.49 1.00 1.00  0.0
19.75 1.0171 2918.00 994.00 1924.00 2918 2918  2917.00 0.00 0.00 1.00 5.49 1.00 1.00  0.0
20.00 1.0154 2963.00 1079.00 1884.00 2963 2963  2962.00 0.00 0.00 1.00 5.49 1.00 1.00  0.0
20.25 1.0105 2994.00 1121.00 1873.00 2994 2994  2993.00 0.00 0.00 1.00 5.49 1.00 1.00  0.0
20.50 1.0114 3028.00 1184.00 1844.00 3028 3028  3027.00 0.00 0.00 1.00 5.48 1.00 1.00  0.0
20.75 1.0155 3075.00 1260.00 1815.00 3075 3075  3074.00 0.00 0.00 1.00 5.48 1.00 1.00  0.0
21.00 1.0098 3105.00 1318.00 1787.00 3105 3105  3104.00 0.00 0.00 1.00 5.49 1.00 1.00  0.0
21.25 1.0110 3139.00 1382.00 1757.00 3139 3139  3138.00 0.00 0.00 1.00 5.49 1.00 1.00  0.0
21.50 1.0073 3162.00 1412.00 1750.00 3162 3162  3161.00 0.00 0.00 1.00 5.49 1.00 0.99  0.0
21.75 1.0044 3176.00 1435.00 1741.00 3176 3176  3175.00 0.00 0.00 1.00 5.49 1.00 0.99  0.0
22.00 1.0072 3199.00 1476.00 1723.00 3199 3199  3198.00 0.00 0.00 1.00 5.49 1.00 0.99  0.0
22.25 1.0141 3244.00 1559.00 1685.00 3244 3244  3243.00 0.00 0.00 1.00 5.48 1.00 0.99  0.0
22.50 1.0065 3265.00 1592.00 1673.00 3265 3265  3264.00 0.00 0.00 1.00 5.48 1.00 0.99  0.0
22.75 1.0098 3297.00 1633.00 1664.00 3297 3297  3296.00 0.00 0.00 1.00 5.49 1.00 0.99  0.0
23.00 1.0064 3318.00 1643.00 1675.00 3318 3318  3317.00 0.00 0.00 1.00 5.49 1.00 0.99  0.0
23.25 1.0072 3342.00 1667.00 1675.00 3342 3342  3341.00 0.00 0.00 1.00 5.49 1.00 0.99  0.0
23.50 1.0087 3371.00 1721.00 1650.00 3371 3371  3370.00 0.00 0.00 1.00 5.49 1.00 0.99  0.0
23.75 1.0036 3383.00 1728.00 1655.00 3383 3383  3382.00 0.00 0.00 1.00 5.49 1.00 0.99  0.0
