1   6.867   1.266   1.041    0.081   0.038   0.003  18.000 
2   6.566   1.092   0.955    0.087   0.042   0.004  18.000 
3   6.689   0.881   1.216    0.085   0.046   0.003  18.000 
4   5.985   0.868   1.018    0.084   0.047   0.005  18.000 
5   5.334   1.136   0.987    0.085   0.041   0.008  18.000 
6   5.164   0.863   1.065    0.083   0.047   0.009  18.000 
7   6.221   1.368   1.183    0.076   0.034   0.004  18.000 
8   6.937   1.296   0.881    0.080   0.037   0.003  18.000 
9   5.026   0.887   1.251    0.084   0.046   0.008  18.000 
10   6.292   1.400   0.988    0.074   0.033   0.004  18.000 
11   5.183   1.083   1.184    0.086   0.042   0.008  18.000 
12   6.937   1.058   0.924    0.087   0.043   0.003  18.000 
13   4.985   0.856   0.786    0.082   0.047   0.011  18.000 
14   5.492   0.848   0.836    0.083   0.047   0.008  18.000 
15   6.460   0.974   0.893    0.087   0.045   0.004  18.000 
16   6.170   0.897   0.902    0.085   0.046   0.005  18.000 
17   5.894   0.730   0.874    0.076   0.048   0.006  18.000 
18   4.483   0.892   0.996    0.082   0.046   0.014  18.000 
19   4.257   0.876   1.081    0.081   0.046   0.015  18.000 
20   5.098   0.677   0.837    0.071   0.049   0.010  18.000 
21   5.008   1.286   1.040    0.079   0.037   0.010  18.000 
22   5.144   0.988   0.973    0.086   0.045   0.009  18.000 
23   6.199   1.072   1.209    0.087   0.043   0.004  18.000 
24   6.814   1.087   0.877    0.087   0.042   0.003  18.000 
25   5.204   1.087   1.170    0.086   0.042   0.008  18.000 
26   5.405   0.873   1.031    0.084   0.046   0.008  18.000 
27   6.284   0.981   1.019    0.087   0.045   0.004  18.000 
28   4.138   0.962   0.916    0.082   0.045   0.018  18.000 
29   5.988   0.830   0.881    0.082   0.047   0.006  18.000 
30   4.940   0.946   1.073    0.085   0.045   0.010  18.000 
31   6.187   0.847   0.804    0.083   0.047   0.005  18.000 
32   5.485   0.702   0.997    0.074   0.048   0.007  18.000 
33   4.580   1.271   1.032    0.079   0.037   0.013  18.000 
34   6.875   0.730   1.124    0.077   0.048   0.003  18.000 
35   4.449   1.390   1.140    0.072   0.034   0.013  18.000 
36   5.344   0.768   0.963    0.078   0.048   0.008  18.000 
37   4.587   1.023   1.136    0.085   0.044   0.012  18.000 
38   5.736   0.818   0.854    0.081   0.047   0.007  18.000 
39   6.175   1.074   1.183    0.087   0.043   0.004  18.000 
40   5.774   0.946   1.121    0.086   0.045   0.006  18.000 
41   6.120   0.863   0.830    0.084   0.047   0.005  18.000 
42   5.076   0.850   0.687    0.082   0.047   0.012  18.000 
43   5.285   0.951   0.769    0.085   0.045   0.010  18.000 
44   5.943   1.088   0.870    0.087   0.042   0.006  18.000 
45   5.717   1.256   1.102    0.081   0.038   0.006  18.000 
46   5.021   1.259   1.032    0.080   0.038   0.010  18.000 
47   4.807   0.873   1.084    0.083   0.046   0.011  18.000 
48   4.994   0.988   1.102    0.086   0.044   0.009  18.000 
49   6.106   1.345   0.992    0.077   0.035   0.005  18.000 
50   5.824   0.938   0.934    0.086   0.045   0.006  18.000 
51   5.586   0.798   1.190    0.080   0.048   0.006  18.000 
52   6.015   0.866   0.945    0.084   0.047   0.005  18.000 
53   5.950   0.956   1.025    0.086   0.045   0.005  18.000 
54   5.212   1.019   1.117    0.086   0.044   0.008  18.000 
55   5.071   1.272   0.747    0.079   0.037   0.011  18.000 
56   5.515   1.208   1.059    0.083   0.039   0.007  18.000 
57   6.760   0.944   0.802    0.087   0.045   0.004  18.000 
58   5.284   1.345   0.938    0.076   0.035   0.009  18.000 
59   5.838   0.998   0.925    0.087   0.044   0.006  18.000 
60   4.973   1.056   0.824    0.085   0.043   0.011  18.000 
61   6.488   1.281   1.004    0.080   0.037   0.004  18.000 
62   4.650   0.787   0.998    0.078   0.048   0.013  18.000 
63   6.028   0.837   0.951    0.083   0.047   0.005  18.000 
64   4.979   0.715   0.930    0.074   0.048   0.011  18.000 
65   6.385   0.969   0.914    0.087   0.045   0.004  18.000 
66   4.559   0.936   0.878    0.084   0.045   0.014  18.000 
67   5.092   0.864   1.427    0.083   0.047   0.007  18.000 
68   5.580   0.959   1.209    0.086   0.045   0.006  18.000 
69   3.817   1.425   1.166    0.068   0.033   0.019  18.000 
70   5.470   1.347   0.953    0.076   0.035   0.008  18.000 
71   6.135   1.091   1.048    0.087   0.042   0.005  18.000 
72   4.949   0.993   0.719    0.085   0.044   0.012  18.000 
73   4.767   1.005   0.659    0.084   0.044   0.014  18.000 
74   5.570   0.890   1.009    0.084   0.046   0.007  18.000 
75   5.507   1.258   1.464    0.081   0.038   0.005  18.000 
76   4.896   1.469   1.060    0.069   0.031   0.010  18.000 
77   3.994   0.723   0.970    0.071   0.048   0.020  18.000 
78   5.574   1.158   1.138    0.085   0.041   0.006  18.000 
79   4.639   1.088   0.928    0.084   0.042   0.013  18.000 
80   5.324   1.071   1.215    0.086   0.043   0.007  18.000 
81   3.582   0.960   1.040    0.079   0.045   0.024  18.000 
82   4.845   1.245   1.123    0.081   0.038   0.010  18.000 
83   5.186   0.962   0.894    0.086   0.045   0.009  18.000 
84   5.799   1.171   0.817    0.084   0.040   0.007  18.000 
85   4.117   0.996   0.884    0.082   0.044   0.019  18.000 
86   6.287   0.867   1.177    0.084   0.047   0.004  18.000 
87   4.947   0.806   1.285    0.080   0.047   0.009  18.000 
88   6.035   1.222   1.098    0.083   0.039   0.005  18.000 
89   7.088   0.878   1.002    0.085   0.046   0.003  18.000 
90   5.980   0.954   1.015    0.086   0.045   0.005  18.000 
91   6.500   1.156   1.052    0.085   0.041   0.004  18.000 
92   4.613   1.041   1.255    0.086   0.043   0.011  18.000 
93   5.265   1.133   1.021    0.085   0.041   0.008  18.000 
94   6.006   0.808   1.154    0.081   0.047   0.005  18.000 
95   5.227   0.948   1.205    0.086   0.045   0.008  18.000 
96   5.616   1.139   0.958    0.085   0.041   0.007  18.000 
97   5.382   1.037   1.068    0.087   0.043   0.007  18.000 
98   5.738   1.081   1.002    0.087   0.042   0.006  18.000 
99   6.380   1.400   1.104    0.074   0.033   0.004  18.000 
100   5.414   1.080   0.847    0.086   0.043   0.008  18.000 
101   4.712   1.376   0.915    0.073   0.034   0.013  18.000 
102   5.193   1.521   0.675    0.065   0.030   0.011  18.000 
103   4.719   0.832   0.735    0.080   0.047   0.014  18.000 
104   6.095   1.392   1.162    0.074   0.034   0.004  18.000 
105   4.732   1.157   1.028    0.083   0.041   0.012  18.000 
106   3.911   1.020   0.758    0.080   0.044   0.023  18.000 
107   6.195   0.656   1.023    0.070   0.049   0.005  18.000 
108   5.938   1.119   1.061    0.086   0.042   0.005  18.000 
109   5.097   1.065   0.758    0.086   0.043   0.011  18.000 
110   4.135   1.028   1.014    0.083   0.044   0.017  18.000 
111   5.135   1.138   0.929    0.085   0.041   0.010  18.000 
112   5.053   1.142   0.991    0.084   0.041   0.010  18.000 
113   5.924   0.851   0.845    0.083   0.047   0.006  18.000 
114   5.416   0.941   0.991    0.086   0.045   0.008  18.000 
115   5.766   1.103   0.978    0.086   0.042   0.006  18.000 
116   5.132   0.940   0.807    0.085   0.045   0.010  18.000 
117   6.708   0.906   0.789    0.086   0.046   0.004  18.000 
118   4.713   1.038   1.173    0.086   0.043   0.011  18.000 
119   5.913   1.082   0.699    0.086   0.042   0.007  18.000 
120   4.610   0.936   0.956    0.084   0.045   0.013  18.000 
121   5.731   0.928   0.903    0.086   0.046   0.007  18.000 
122   5.595   0.993   1.423    0.087   0.044   0.005  18.000 
123   5.694   0.948   1.060    0.086   0.045   0.006  18.000 
124   5.229   0.949   0.980    0.086   0.045   0.009  18.000 
125   5.558   1.240   0.998    0.082   0.038   0.007  18.000 
126   5.372   1.026   0.902    0.086   0.044   0.008  18.000 
127   5.139   0.914   0.905    0.085   0.046   0.010  18.000 
128   5.123   0.836   1.137    0.082   0.047   0.008  18.000 
129   4.448   1.086   0.948    0.084   0.042   0.015  18.000 
130   5.129   0.804   0.848    0.080   0.047   0.010  18.000 
131   5.894   0.773   1.046    0.079   0.048   0.005  18.000 
132   5.917   1.047   0.886    0.087   0.043   0.006  18.000 
133   7.821   1.576   0.889    0.063   0.028   0.002  18.000 
134   5.382   1.118   0.885    0.085   0.042   0.008  18.000 
135   5.618   0.995   1.149    0.087   0.044   0.006  18.000 
136   5.848   0.958   0.822    0.086   0.045   0.006  18.000 
137   5.618   0.896   0.748    0.084   0.046   0.008  18.000 
138   5.722   0.922   0.868    0.085   0.046   0.007  18.000 
139   6.243   1.007   1.425    0.087   0.044   0.003  18.000 
140   3.841   0.980   1.134    0.082   0.045   0.019  18.000 
141   5.870   0.791   0.967    0.080   0.048   0.006  18.000 
142   5.323   0.844   1.011    0.082   0.047   0.008  18.000 
143   6.224   1.059   1.210    0.087   0.043   0.004  18.000 
144   6.579   1.013   0.945    0.087   0.044   0.004  18.000 
145   5.518   1.032   1.094    0.087   0.044   0.007  18.000 
146   5.785   0.955   0.919    0.086   0.045   0.006  18.000 
147   6.688   1.195   0.940    0.084   0.040   0.003  18.000 
148   6.287   1.183   0.743    0.084   0.040   0.005  18.000 
149   6.612   0.927   0.864    0.086   0.046   0.004  18.000 
150   4.429   1.054   1.007    0.084   0.043   0.014  18.000 
151   4.840   1.067   1.040    0.086   0.043   0.011  18.000 
152   4.862   0.970   1.055    0.085   0.045   0.011  18.000 
153   4.727   0.818   1.118    0.080   0.047   0.011  18.000 
154   6.613   0.851   1.385    0.084   0.047   0.003  18.000 
155   5.864   1.092   1.119    0.087   0.042   0.005  18.000 
156   4.532   1.120   1.329    0.085   0.042   0.011  18.000 
157   5.086   1.708   0.716    0.054   0.024   0.011  18.000 
158   5.932   1.668   0.846    0.057   0.025   0.006  18.000 
159   5.574   1.158   0.989    0.085   0.041   0.007  18.000 
160   4.974   1.158   1.110    0.084   0.041   0.009  18.000 
161   5.599   1.035   1.124    0.087   0.044   0.006  18.000 
162   5.649   0.749   1.103    0.077   0.048   0.006  18.000 
163   4.212   1.016   0.748    0.082   0.044   0.019  18.000 
164   6.198   0.962   1.556    0.087   0.045   0.003  18.000 
165   4.947   0.920   0.964    0.084   0.046   0.011  18.000 
166   6.038   0.835   1.258    0.083   0.047   0.004  18.000 
167   6.520   0.934   1.026    0.086   0.046   0.004  18.000 
168   4.999   1.158   1.158    0.084   0.041   0.009  18.000 
169   4.294   0.706   1.011    0.072   0.048   0.016  18.000 
170   6.591   0.986   0.977    0.087   0.045   0.004  18.000 
171   4.115   0.976   0.940    0.082   0.045   0.018  18.000 
172   6.457   0.910   0.874    0.086   0.046   0.004  18.000 
173   5.539   0.993   1.057    0.087   0.044   0.007  18.000 
174   5.358   1.150   0.931    0.085   0.041   0.008  18.000 
175   5.692   1.030   0.997    0.087   0.044   0.006  18.000 
176   5.983   0.801   0.969    0.081   0.047   0.005  18.000 
177   4.898   0.764   0.941    0.077   0.048   0.011  18.000 
178   5.974   0.817   0.791    0.081   0.047   0.006  18.000 
179   4.010   0.931   0.859    0.081   0.046   0.021  18.000 
180   5.567   0.965   0.981    0.086   0.045   0.007  18.000 
181   6.761   1.062   1.162    0.087   0.043   0.003  18.000 
182   7.300   1.040   0.854    0.088   0.043   0.002  18.000 
183   5.654   1.014   1.162    0.087   0.044   0.006  18.000 
184   5.091   1.047   1.007    0.086   0.043   0.009  18.000 
185   6.187   1.270   1.005    0.081   0.037   0.005  18.000 
186   5.332   1.267   0.989    0.080   0.037   0.008  18.000 
187   5.205   1.033   0.621    0.086   0.044   0.011  18.000 
188   5.600   0.826   0.845    0.082   0.047   0.007  18.000 
189   5.721   0.927   0.619    0.085   0.046   0.008  18.000 
190   5.497   0.735   0.922    0.076   0.048   0.008  18.000 
191   5.463   0.813   1.149    0.081   0.047   0.007  18.000 
192   5.594   0.888   0.794    0.084   0.046   0.008  18.000 
193   7.237   1.092   0.950    0.087   0.042   0.002  18.000 
194   4.510   1.090   1.089    0.084   0.042   0.013  18.000 
195   5.223   0.737   0.839    0.076   0.048   0.010  18.000 
196   4.759   1.031   1.043    0.086   0.044   0.011  18.000 
197   6.207   0.817   1.159    0.082   0.047   0.004  18.000 
198   4.574   0.906   0.858    0.083   0.046   0.014  18.000 
199   4.429   0.887   0.796    0.081   0.046   0.016  18.000 
200   5.879   1.208   0.845    0.083   0.039   0.006  18.000 
201   5.118   1.081   0.900    0.086   0.042   0.010  18.000 
202   5.563   0.901   0.914    0.085   0.046   0.007  18.000 
203   4.980   1.265   0.839    0.080   0.038   0.011  18.000 
204   4.823   1.081   0.923    0.085   0.042   0.012  18.000 
205   4.985   0.719   0.935    0.074   0.048   0.010  18.000 
206   5.487   1.406   1.013    0.073   0.033   0.007  18.000 
207   5.721   0.961   1.000    0.086   0.045   0.006  18.000 
208   6.949   1.039   1.176    0.088   0.043   0.003  18.000 
209   5.466   1.311   0.903    0.078   0.036   0.008  18.000 
210   6.598   1.425   1.113    0.073   0.033   0.003  18.000 
211   4.888   0.912   0.866    0.084   0.046   0.012  18.000 
212   4.866   1.202   0.938    0.082   0.039   0.011  18.000 
213   5.038   0.841   0.922    0.082   0.047   0.010  18.000 
214   5.101   1.030   1.078    0.086   0.044   0.009  18.000 
215   5.625   0.837   1.001    0.082   0.047   0.007  18.000 
216   6.141   0.709   0.827    0.075   0.048   0.005  18.000 
217   6.635   1.014   0.876    0.087   0.044   0.004  18.000 
218   6.236   0.845   1.183    0.083   0.047   0.004  18.000 
219   6.348   0.977   0.873    0.087   0.045   0.004  18.000 
220   5.469   0.666   1.022    0.071   0.049   0.007  18.000 
221   5.596   1.209   0.924    0.083   0.039   0.007  18.000 
222   6.700   1.145   1.248    0.086   0.041   0.003  18.000 
223   5.236   1.197   1.029    0.083   0.040   0.008  18.000 
224   5.512   1.098   1.349    0.086   0.042   0.006  18.000 
225   6.192   0.960   1.323    0.087   0.045   0.004  18.000 
226   4.431   0.752   1.111    0.076   0.048   0.013  18.000 
227   6.048   0.860   1.154    0.084   0.047   0.005  18.000 
228   4.995   1.435   1.276    0.071   0.032   0.008  18.000 
229   4.379   0.682   0.960    0.070   0.049   0.015  18.000 
230   5.194   0.839   0.885    0.082   0.047   0.009  18.000 
231   5.163   1.030   1.440    0.087   0.044   0.007  18.000 
232   5.658   1.165   1.049    0.085   0.040   0.006  18.000 
233   5.348   0.837   0.973    0.082   0.047   0.008  18.000 
234   5.787   0.675   1.131    0.072   0.049   0.006  18.000 
